제목,일자,본문,URL,언론사,통합 분류1
"""美 고금리 킹달러 시대 저물어가... 환율 1200원 중반까지 내릴수도"" [새해 경제정책 방점은]",20231231,"금융가, 올 달러가치 하락 전망 
 
 
'고금리 장기화(higher for longer)'를 외치던 미국 연방준비제도(연준)가 올해부터 금리인하에 나설 가능성이 커지며 원 달러 환율도 하방 압력을 받게 될 전망이다. 달러화 가치 하락에 올해 하반기 환율이 1200원대 중반까지 떨어질 수 있다는 분석이 나오는 가운데 연초 환율은 미국의 고용 물가 등 경..",http://www.fnnews.com/news/202312311932572940,파이낸셜뉴스,경제>외환
"집중력 위기의 시대 올해는 ‘몰입’해볼까, EBS1 ‘지식채널 e’",20231231,"<도둑맞은 집중력>은 2023년 사회관계망서비스(SNS)를 뜨겁게 달군 책이다. 이 책을 읽고 SNS 사용을 중단하거나 휴대전화를 멀리하려는 시도가 이어졌다. 인터넷 기기와 온라인 세상에 빼앗긴 집중력을 되찾기 위함이었다. 그만큼 인간의 집중력은 위기를 맞았다고 해도 과언이 아니다. 

EBS 1TV <지식채널 e>는 새해 첫 방송 주제로 ‘몰입’을 택..",https://www.khan.co.kr/culture/tv/article/202312311933005,경향신문,IT_과학>모바일
[박용석 만평] 1월 1일,20231231,""" parkys@joongang.co.kr """,https://www.joongang.co.kr/article/25218798,중앙일보,미분류
50년 터줏대감조차도 휘청 동네 목욕탕이 사라진다,20231231,"부산 남구 우암동 복천탕 입구. 1972년 문을 연 복천탕은 각종 공공요금 인상에 따른 경영난으로 문을 닫을 위기에 처했다. 김준현 기자 joon@busan.com



 전기 수도 요금 등 치솟는 공과금과 목욕 문화 변화 탓에 부산에도 동네 목욕탕이 하나둘 자취를 감추고 있다. 기초 지자체도 주민 편의시설 격인 동네 목욕탕을 지원할 방법을 검토하고 나..",https://www.busan.com/view/busan/view.php?code=2023123117434424407,부산일보,지역>대전
"홀드왕 출신 FA 주권, 계약 맺지 못하고 해 넘겨",20231231,"KT 위즈 불펜 투수 주권.경기일보 DB 
 프로야구 KT 위즈의 불펜 투수 주권(28)이 FA(자유계약 선수) 계약을 맺지 못하고 해를 넘기게 됐다. 
 
 마무리 투수 김재윤(삼성)과 더불어 KT에서는 단 두 명 FA 시장에 나왔던 주권은 김재윤이 일찌감치 삼성의 러브콜을 받고 계약을 맺은데 반해 공시 40여 일이 넘도록 원 소속 구단인 KT는 물론..",https://www.kyeonggi.com/article/20231231580036,경기일보,스포츠>야구
"장원영, 겨울 추위 잊은 반팔 미니드레스 '빛나는 공주님'",20231231,"[스포츠한국 조은애 기자] 

그룹 아이브 장원영이 추위를 잊은 공주님 비주얼을 자랑했다. 

장원영은 31일 ""올해의 마지막 날""(The last day of the year)이란 글과 함께 여러 장의 사진을 올렸다. 

사진 속 장원영은 블랙 미니드레스를 입고 눈 쌓인 계단 위에 앉아 있다. 

반팔에 짧은 드레스로 가녀린 몸매를 드러낸 그는 사랑스..",https://sports.hankooki.com/news/articleView.html?idxno=6849834,스포츠한국,문화>방송_연예
"尹대통령 신년사 키워드는 '따뜻한 정부, 행동하는 정부'",20231231,"윤석열 대통령이 신년사에서 '따뜻한 정부, 행동하는 정부'를 키워드로 내세울 것으로 보인다. 집권 3년 차를 맞이해 민생과 경제에 정책의 초점을 맞추는 한편 총선을 앞두고 민심을 더 챙기겠다는 점을 강조하려는 메시지로 보인다.
31일 여권 고위 관계자에 따르면 윤 대통령은 2024년 신년사에서 정부 새해 기조에 대해 이렇게 밝힐 방침이다. 윤 대통령은 ..",http://www.mk.co.kr/article/10910599,매일경제,정치>청와대
태양광으로 전기차 충전 내년 ‘전력 직거래’ 시장 넓어진다,20231231,"[이데일리 김형욱 기자] 전기차 충전소 사업자가 내년부터 인근 태양광 발전 설비 생산 전력을 활용할 수 있게 된다. 정부가 새해 이 같은 ‘전력 직거래 시장’ 확대를 모색하는 가운데 실효를 거둘지 관심을 끈다.

산업통상자원부는 ‘2024년부터 이렇게 달라집니다’를 통해 이 같은 내년 이후의 변화상을 소개했다.

(표=산업통상자원부)내년 5월1일부터 태..",http://www.edaily.co.kr/news/newspath.asp?newsid=01584246635844096,이데일리,경제>자원
"“KS 2차전 인생 최고 경기” 19년 전 한없이 처량했던 운영팀장, 사령탑으로 LG 29년 한풀이[송년특집]",20231231,"LG 염경엽 감독이 30일 서울 강남구 엘리에나호텔에서 개최된 ‘2023 올해의 상’ 시상식장에서 스포츠서울과 인터뷰를 하고 있다. 
2023. 11. 30.
최승섭기자 thunder@sportsseoul.com
 

[스포츠서울 | 윤세호기자] 2004년 11월 1일. KBO리그 역사상 가장 긴 한국시리즈(KS)에서 승리했지만 웃지 못했다. 우승 확정..",https://www.sportsseoul.com/news/read/1385290,스포츠서울,스포츠>축구
이렇게 한 살 더 먹는다 제야의종 행사에 10만명 온다,20231231,"2023년 마지막 날인 31일 오후 11시부터 다음 날 오전 1시까지 서울 종로구 보신각과 세종대로 일대에서 대규모 제야의 종 새해맞이 행사가 열리는 가운데 10만명이 몰릴 것으로 예상된다. 
 
 보신각에서 열리는 제야의 종 타종 행사는 1953년부터 70년째 이어져 온 새해맞이 행사다. 타종 1시간 전인 오후 11시부터 세종대로로 이어지는 약 400..",https://www.imaeil.com/page/view/2023123119264979000,매일신문,사회>사회일반
"수원 현대건설, ‘미리 보는 챔프전’서 흥국생명에 셧아웃 승",20231231,"31일 인천 삼산월드체육관서 열린 2023-2024 V리그에서 현대건설이 모마와 양효진의 맹활약을 앞세워 흥국생명을 3-0으로 완파한 뒤 기뻐하고 있다. KOVO 제공 
 여자 프로배구 수원 현대건설이 승점 6짜리 ‘미리 보는 챔프전’서 웃으며 선두를 굳건히 지켰다. 
 
 강성형 감독이 이끄는 현대건설은 31일 인천 삼산월드체육관서 열린 ‘도드람 20..",https://www.kyeonggi.com/article/20231231580034,경기일보,스포츠>농구_배구
"""뱀이야!"" 호주 국제 테니스 대회 중 독사 등장 경기 40분간 중단 헤프닝",20231231,"[이투데이] 한은수 (online@etoday.co.kr)



호주에서 열린 국제 테니스 대회 중 독사가 출연해 경기가 잠시 중단되는 헤프닝이 일어났다.

30일 호주 브리즈번에서 열린 남자프로테니스(ATP) 투어 브리즈번 인터내셔널 단식 예선 1회전 도미니크 팀(98위 오스트리아)과 제임스 매케이브(272위 호주)가 경기하는 코트에 약 50㎝ 길이의..",https://www.etoday.co.kr/news/view/2316828,이투데이,스포츠>올림픽_아시안게임
"중국, 새해부터 미국 관광객 비자 신청 요건 간소화",20231231,"[이투데이] 손민지 기자 (handmin@etoday.co.kr)



중국이 새해부터 미국인 관광객에 대한 비자 요건을 간소화한다.

31일 주미중국대사관에 따르면 29일(현지시각) 주미중국대사관은 홈페이지에 “2024년 1월 1일부터 중국과 미국 간 인적 교류를 더욱 원활히 하기 위해 중국 관광비자(L비자)에 필요한 신청서류를 간소화할 예정”이라고 ..",https://www.etoday.co.kr/news/view/2316827,이투데이,국제>중국
"""경기부진에 정치 경제 리스크... 중기, 성장보다 생존에 중점"" [신년기획 2024 K-엔진을 다시 켜라]",20231231,"전문가, 위기 대응 전략 조언 
""올해 국내외 주요 선거 줄이어 
'폴리코노미' 리스크 커질듯"" 
 
 
""갑진년 새해 중소기업은 성장보다는 생존에 중점을 둬야 할 것이다."" 
 
전문가들은 2024년 정치 경제 리스크가 커지기 때문에 중소기업들이 다양한 시나리오를 수립하고 생존을 위해 시나리오별로 대응할 필요가 있다며 이같이 입을 모았다. 
 
12월..",http://www.fnnews.com/news/202312311924216046,파이낸셜뉴스,정치>정치일반
北 김정은 “대한민국은 통일상대 아닌 적대국가”,20231231,"김정은 북한 국무위원장이 남북관계를 ‘동족관계’가 아닌 ‘적대적 두 국가 관계’로 규정하고 대한민국과 통일은 성사될 수 없다는 강경한 입장을 밝혔다. 김 위원장이 사실상 남북관계 개선을 포기하고 핵 미사일을 비롯한 무력을 앞세워 공세수위를 고조시키면서 미국 대선까지 열리는 올 한해 한반도 정세에 부담이 가중될 전망이다.
31일 노동신문은 김 위원장이 전..",http://www.mk.co.kr/article/10910598,매일경제,정치>북한
“새 소속사 찾는 중...선한 영향력 아티스트 희망” 피프티 피프티 전 멤버 3인은 지금,20231231,"그룹 피프티 피프티 전 멤버 아란, 새나, 시오 등이 새 소속사 물색에 나선다.
최근 아란, 새나, 시오의 팬클럽 측은 세 멤버를 대리하는 법무팀에 연락해 팬들이 현재 진행 중인 법적 소송을 지원할 수 있는 방법을 문의했다고 밝혔다. 그러면서 전 멤버들의 변호사가 팬들에게 위로와 희망을 주기 위해 공개적으로 공유할 수 있도록 허락한 전 멤버들의 메시지를..",http://www.mk.co.kr/article/10910597,매일경제,문화>방송_연예
"국방부, 北 '적대적 국가' 선언에 ""강력 규탄 도발 압도적 응징""",20231231,북한 연말 전원회의 종료 '2024년도 투쟁과업' 제시 (평양 조선중앙통신=연합뉴스) 북한은 지난 26일부터 개최되었던 연말 전원회의가 30일 결속됐다고 조선중앙통신이 31일 보도했다. 2023.12.31 [국내에서만 사용가능. 재배포 금지. For Use Only in the Republic of Korea. No Redistribution] nkph..,http://www.fnnews.com/news/202312311921083719,파이낸셜뉴스,정치>북한
"""젊어진 기업 리더들, 국가 국민 위해 선한 영향력 키우길"" [신년기획 2024 특별인터뷰]",20231231,"구자열 한국무역협회장 LS 이사회 의장 
한국 산업구조 무역환경 전환기... 새해 美 대선 등으로 변수 더 많아져 
재계 새 성장동력 확보 힘 합치고, 정부는 '기울어진 규제' 바로잡아야 
 
 구자열 한국무역협회 회장이 12월 31일 서울 강남구 트레이드타워에서 2024년 새해를 앞두고 '한국 무역의 구조적 전환 및 대외 통상환경 급변에 대한 대응체제..",http://www.fnnews.com/news/202312311919221918,파이낸셜뉴스,경제>무역
‘청룡의 해’ KIA는 올해도 핵타선만 믿고 간다  김도영‧최형우만 돌아오면,20231231,"후반기 강한 타선 바탕으로 9연승 휘파람 
나성범‧김도영 합류한 후반기 팀 타율 무려 0.292 
타점‧득점‧OPS도 모조리 단독 선두 
타선 전체가 쉬어갈 틈 없어 
다만, 현재까지 뚜렷한 전력보강 요인 없어 
부상자 돌아오면 내년에도 핵타선으로 승부 
 
 나성범의 투런홈런 장면 (사진 = KIA 타이거즈) 
 
 [파이낸셜뉴스 = 전상일 기자] 2..",http://www.fnnews.com/news/202312311908268386,파이낸셜뉴스,스포츠>야구
"경기도 2023년 제1,2 판교테크노밸리 총괄 실태조사 발표",20231231,"판교테크노밸리에 약 7만8000명 근무한다 2022년 매출 167조 7000억원 기록 

 

 
 

 

 
 

 

 
 

 노동자수 7만8751명 30~40대 전체 69.6% 차지 
 

 판교 실태조사 결과 활용한 단지 운영과 입주기업 지원정책 추진 
 

 

 
 

 

 
 

 [대한경제=박범천 기자]테크노밸리에는 1622개 기업에..",http://www.dnews.co.kr/uhtml/view.jsp?idxno=202312311904201590515,대한경제,경제>취업_창업
[날씨] 내일 예년 기온 웃돌아 ...'해돋이' 대부분 지역서 감상 가능,20231231,"2023년의 마지막 해가 저물었습니다. 

하늘이 다소 흐렸지만 서울에서도 구름 사이로 해넘이를 볼 수 있었는데요. 

푸른 용의 해를 맞이하는 내일은 하늘이 맑게 개면서 해돋이는 전국 대부분 지역에서 볼 수 있을 전망입니다.

2024년의 첫해는 부산에서는 7시 32분, 서울에서는 7시 47분에 떠오를 전망입니다. 

다만 동해안과 제주도는 낮은 구름..",https://www.ytn.co.kr/_ln/0108_202312311917590199,YTN,사회>날씨
코스피 2400~2700선 47.7%... 집값 내린다 46% 오른다 35% [신년기획 2024 경제 대진단],20231231,"<증시 부동산> 
 
 
 올 증시에 미칠 경제요인을 묻는 질문에 경제분야 오피니언 리더들의 답변은 '금리'로 모아졌다. 12월 31일 파이낸셜뉴스가 경제분야 오피니언 리더 112명을 대상으로 실시한 설문조사에서 복수 응답이지만 81.3%가 '금리 기조'가 방향성을 결정한다는 것에 방점을 찍었다. 
 
올해 말 코스피지수 예상밴드는 2400~2700 선..",http://www.fnnews.com/news/202312311917438734,파이낸셜뉴스,경제>부동산
"""3高에 불확실성 지속 미래 먹거리는 반도체 AI 배터리"" [신년기획 2024 경제 대진단]",20231231,"<기업 경기> 
기업 58% ""영업이익 늘어날 것"" 
자금조달 환경 더 악화할것 51% 
작년 수준 신사업 R&D투자 49% 
 
 
 반등을 앞둔 경기 흐름에서 기업들이 미래에 어떤 대응에 나설지가 화두가 되고 있다. 경기반등의 핵심으로 여겨진 수출지표가 플러스 전환을 이뤄냈지만 여전히 금리 등 대외여건의 불확실성이 지속될 가능성이 높아서다. 경제분야..",http://www.fnnews.com/news/202312311917397150,파이낸셜뉴스,경제>산업_기업
'터널 침수' 유로스타 전면 중단...연휴 여행객 큰 불편,20231231,"[앵커]
영국 런던과 프랑스 파리 등을 오가는 해저터널 열차 유로스타 운행이 전면 취소됐습니다.

터널 침수 때문인데, 긴 연휴를 맞은 여행객들이 심한 불편을 겪었습니다.

서봉국 기자입니다.

[기자]
터널 벽면에서 물줄기가 쏟아집니다.

일부 구간은 아예 선로가 물에 완전히 잠겼습니다.

영국 런던과 프랑스 등을 오가는 유로스타 터널이 침수된 때는 ..",https://www.ytn.co.kr/_ln/0104_202312311915533047,YTN,국제>유럽_EU
"""올 한국경제 2~2.5% 성장 하반기 물가 안정세 찾을 것"" [신년기획 2024 경제 대진단]",20231231,"<경제성장률 물가> 
응답자 절반 1%대 성장률 예측 
60.7%가 고금리가 성장 걸림돌 
고금리 지속 물가 3% 안팎 유지 
 
 
 지난해 1%대로 주저앉았던 우리 경제성장률이 올해는 2% 이상을 회복할 것으로 보인다. 국내 경제분야 오피니언 리더 112명은 2024년 한국 경제가 2~2.5% 성장할 것이라고 예측했다. 고금리 여파가 올해도 계속되는..",http://www.fnnews.com/news/202312311915252033,파이낸셜뉴스,경제>국제경제
"10명 중 4명 ""3분기 금리 내린다""... 원 달러 환율 1250~1300원 미만 [신년기획 2024 경제 대진단]",20231231,"<기준금리 환율> 
 
 
 미국 중앙은행인 연방준비제도가 지난해 12월 연방공개시장위원회(FOMC)에서 기준금리를 동결하고 기준금리 인하를 예고했다. 현재 미국과 우리나라의 기준금리 격차는 2%p로 역전 폭이 최대로 벌어진 상태다. 
 
이제 관심은 우리나라 기준금리는 언제, 얼마나 내리느냐에 모아지고 있다. 경제분야 오피니언 리더들은 한국은행이 올 ..",http://www.fnnews.com/news/202312311915280042,파이낸셜뉴스,경제>외환
"여자 배구 선두 현대건설, 2위 흥국생명 완파 격차 벌려...상대 전적 2승2패",20231231,"31일 인천 삼산월드체육관에서 열린 프로배구 V리그 여자부 흥국생명과 현대건설의 경기. 현대건설 정지윤이 스파이크하고 있다. 연합 프로배구 여자부 선두 수원 현대건설이 2위 인천 흥국생명을 꺾고 격차를 벌렸다. 

현대건설은 31일 인천 삼산월드체육관에서 열린 도드람 2023~2024 V리그 여자부 방문 경기에서 흥국생명을 3-0(25-20 25-20 ..",www.joongboo.com/news/articleView.html?idxno=363628420,중부일보,스포츠>농구_배구
[7시 날씨] 내일 오전 내륙에 안개 동해안 너울 주의,20231231,"내일은 대부분 지역에서 구름 사이에서 새해 첫해를 볼 수 있겠습니다.

 다만, 해맞이 명소인 동해안과 제주도는 흐리겠고요.

 오전에 서쪽 내륙 지역은 안개가 짙은 곳이 있겠습니다.

 새해 첫해는 독도는 오전 7시 26분에, 서울의 경우 오전 7시 47분에 떠오르겠습니다.

 동해안 지역은 지금도 비나 눈이 내리는 가운데, 내일 새벽까지 강원 산지에..",https://news.kbs.co.kr/news/view.do?ncd=7855032&amp;ref=DA,KBS,사회>날씨
"동방신기 ""빛바래지 않도록"" 무대서 살아 숨 쉰 20년의 역사 [종합]",20231231,"데뷔 20주년을 맞은 그룹 동방신기(TVXQ!)가 콘서트로 '명불허전 클래스'를 입증했다. 한 시대를 떠올리게 하는 히트곡 릴레이에 건재한 무대 위 에너지까지 ""역시 동방신기""라는 말이 나오는 3시간이었다. 
 
동방신기(유노윤호, 최강창민)는 31일 오후 인천 중구 인스파이어 아레나에서 데뷔 20주년 기념 단독 콘서트 '20&2'를 개최했다. 전날에 ..",https://www.hankyung.com/article/202312313516H,한국경제,문화>전시_공연
마취 후 성폭행 불법 촬영 성범죄 저지른 의사 5년간 800명에 달해,20231231,"약물에 취해 차를 몰다 행인을 치어 숨지게 한 '압구정 롤스로이스' 사건 운전자에게 마약류를 처방한 의사 염 모 씨. 연합뉴스



 최근 5년간 성범죄로 검거된 의사가 약 800명에 달하는 것으로 나타났다. 
 
 31일 국회 보건복지위원회 소속 더불어민주당 남인순 의원이 경찰청로부터 제공받은 자료에 따르면 2018년부터 2022년까지 의사 793명(..",https://www.busan.com/view/busan/view.php?code=2023123118344573831,부산일보,사회>사건_사고
"“제 갈 길 가겠다” 이낙연, 내달 4일 신당 창당 선언",20231231,"이재명 더불어민주당 대표와의 만남에서 아무런 소득도 얻지 못한 이낙연 더불어민주당 전 대표가 내주 신당창당을 선언할 것이란 언론 보도가 나왔다.
31일 중앙일보 보도에 따르면 이 전 대표는 이날 측근 그룹과 실무 모임을 갖고 내년 1월 4일 신당 창당을 선언하기로 했다.
이 전 대표측은 내년 1월 4일 신당 창당 선언을 거쳐 내달 10일에서 15일 사이..",http://www.mk.co.kr/article/10910594,매일경제,정치>국회_정당
"해넘이는 못 봤어도 해돋이는...비 강풍 소식, 해안가는 조심",20231231,"올해의 마지막 날인 12월 31일 대부분 지역에서 해넘이를 보기 어려웠지만, 내년의 첫날인 1월 1일에는 많은 지역에서 해돋이를 볼 수 있을 전망이다.
31일 기상청에 따르면 2024년 1월 1일에 구름 사이로 해가 뜨는 모습을 볼 수 있겠다. 다만 동해안과 제주도에는 해상에 낮은 구름이 유입돼 해돋이를 보기 힘들겠다.
경기남부내륙 충청내륙 전라내륙을 ..",http://www.mk.co.kr/article/10910596,매일경제,지역>경남
여야 ‘365일 대립’ 분열과 갈등의 2023년 정치,20231231,"[앵커]

 2023년은 모처럼 전국 단위 선거가 없었던 해였습니다.

 그래서 여야의 협치를 기대하는 국민들이 많았지만 국회는 치열한 대립 구도 속에서 서로를 탓하며 1년을 보냈습니다.

 분열과 갈등의 터널을 지나온 올해 정치권의 모습, 김진호 기자가 정리했습니다.

 [리포트]

 여야는 2023년 첫날부터 상대방을 비난하며 험로를 예고했습니다.
..",https://news.kbs.co.kr/news/view.do?ncd=7855031&amp;ref=DA,KBS,정치>국회_정당
3년차 맞은 尹정부... 1순위는 민생 안정,20231231,"대통령 신년사에 의지 담을듯 
 
 
 윤석열 대통령이 '민생안정'과 '강한 안보'를 주요 키워드로 삼은 신년사 준비에 여념이 없는 가운데 신년부터 '민생경제 챙기기'에 집중할 것으로 보인다. 개각을 비롯한 대통령실 개편을 마무리한 윤 대통령은 각종 이슈에도 국정 1순위가 '민생'이란 점에서 집권 3년차를 맞아 신년사와 신년 주요 일정 모두 '민생안정'..",http://www.fnnews.com/news/202312311912532645,파이낸셜뉴스,정치>국회_정당
청룡의 기세처럼 저성장 끝내고 날아오르자 [신년기획 2024년 경제 대진단],20231231,"fn 대한상의, 전문가 100명 설문 
하반기 소비 투자 살아나겠지만 
고금리 후폭풍 PF 부실 '화약고' 
규제 완화해 역동성 키우는게 답 
 
 갑진년 비상을 꿈꾸며. 2024년 갑진년 새해가 밝았다. 지난 4년간 코로나19로 힘들었던 순간을 마무리하고 갑진년 '청룡'의 새로운 해가 떠올랐다. 인천공항 활주로를 박차고 떠오른 비행기가 붉게 타오르는 ..",http://www.fnnews.com/news/202312311912479738,파이낸셜뉴스,경제>국제경제
"기온 ‘뚝’, 주취자 응급실행 “보호 힘들어요”",20231231,"[앵커]

 연말 연시에 술에 취한 채 길거리에 방치돼 있는 사람들 간혹 볼 수 있습니다.

 이런 주취자들을 경찰이 데려가는 데가 있는데, 주취자응급의료센터라는 곳입니다.

 주취자 신고가 급증하다 보니 경찰과 병원이 자구책으로 만든 건데 이마저도 운영이 쉽지 않다고 합니다.

 추재훈 기자가 취재했습니다.

 [리포트]

 [""엄마, 엄마, 엄마!""..",https://news.kbs.co.kr/news/view.do?ncd=7855030&amp;ref=DA,KBS,사회>사회일반
"“이선균, 무명배우 부득부득 데려와 자랑하기 바빴다” 영화감독들 추모글",20231231,"지난 27일 서울 종로구 서울대학교병원 장례식장에 배우 고(故) 이선균씨의 빈소가 마련돼 있다. 뉴시스 
 한국 영화감독들이 “감독에게 배우는 서로 숙명 같은 존재다. 그런데 우리는 지금 사랑하는 사람을 잃었다”며 지난 27일 숨진 배우 고(故) 이선균씨를 추모했다. 
 
 한국영화감독조합(DGK)은 30일 사회관계망서비스(SNS)에 ‘이선균 배우, 추..",http://www.segye.com/content/html/2023/12/31/20231231504835.html,세계일보,문화>영화
